_Customer_ID,_Purchase_Date,_Product_Category,_Product_Price,_Quantity,_Total_Purchase_Amount,_Payment_Method,_Customer_Age,_Returns,_Customer_Name,_Gender,_Churn
49818,8/3/2021,Home,455,2,4788,Credit Card,67,0,Kaylee Evans,Female,0
49818,12/11/2022,Clothing,18,3,3761,PayPal,67,0,Kaylee Evans,Female,0
49818,17/7/2022,Books,70,5,4804,PayPal,67,1,Kaylee Evans,Female,0
49818,17/11/2022,Electronics,271,1,5101,Credit Card,67,0,Kaylee Evans,Female,0
49818,25/5/2020,Clothing,249,4,1399,PayPal,67,1,Kaylee Evans,Female,0
49818,29/4/2020,Books,50,4,833,PayPal,67,1,Kaylee Evans,Female,0
49818,25/1/2021,Books,91,4,3993,Credit Card,67,1,Kaylee Evans,Female,0
49818,22/5/2020,Books,25,2,4608,Credit Card,67,1,Kaylee Evans,Female,0
46717,22/8/2020,Home,126,3,4394,PayPal,44,0,Mary Nguyen,Female,0
46717,25/1/2020,Electronics,319,4,4076,PayPal,44,1,Mary Nguyen,Female,0
46717,17/9/2021,Clothing,38,1,5160,Cash,44,0,Mary Nguyen,Female,0
48175,14/5/2023,Home,50,1,1970,Cash,51,1,Nancy Riley,Male,0
48175,25/1/2023,Books,473,5,2246,PayPal,51,1,Nancy Riley,Male,0
48175,25/6/2022,Books,485,5,2140,Cash,51,1,Nancy Riley,Male,0
48175,2/11/2021,Clothing,83,4,887,Cash,51,1,Nancy Riley,Male,0
48175,29/9/2020,Home,373,3,4980,PayPal,51,0,Nancy Riley,Male,0
48175,26/4/2023,Electronics,334,2,937,Cash,51,0,Nancy Riley,Male,0
48175,25/1/2021,Books,77,3,4803,PayPal,51,1,Nancy Riley,Male,0
48175,6/6/2022,Home,359,3,2981,Credit Card,51,0,Nancy Riley,Male,0
45465,18/7/2023,Books,175,1,3992,PayPal,58,1,Patrick Baker,Female,0
45465,8/2/2020,Books,296,5,1925,Credit Card,58,1,Patrick Baker,Female,0
45465,10/8/2023,Electronics,199,1,3378,Cash,58,1,Patrick Baker,Female,0
45465,28/11/2022,Clothing,132,1,4083,PayPal,58,1,Patrick Baker,Female,0
45465,15/10/2020,Home,487,3,747,Cash,58,1,Patrick Baker,Female,0
45465,28/9/2020,Books,179,1,2932,PayPal,58,1,Patrick Baker,Female,0
45465,11/3/2022,Home,113,2,1573,Cash,58,1,Patrick Baker,Female,0
45465,18/7/2021,Home,35,1,3543,Cash,58,0,Patrick Baker,Female,0
46183,23/8/2021,Books,347,5,3300,Cash,69,1,Christopher Hawkins,Female,0
46183,25/5/2022,Books,269,5,5106,Cash,69,1,Christopher Hawkins,Female,0
46183,6/5/2023,Home,168,2,4185,Credit Card,69,1,Christopher Hawkins,Female,0
46183,16/3/2020,Electronics,58,2,452,Credit Card,69,0,Christopher Hawkins,Female,0
46183,23/1/2023,Books,294,3,1268,PayPal,69,0,Christopher Hawkins,Female,0
46183,29/8/2020,Home,276,4,1944,Cash,69,0,Christopher Hawkins,Female,0
48259,20/1/2022,Books,158,4,2750,Credit Card,42,1,Melanie Taylor,Female,0
48259,26/1/2020,Clothing,115,1,1133,PayPal,42,1,Melanie Taylor,Female,0
48259,1/11/2021,Home,97,1,1744,Cash,42,0,Melanie Taylor,Female,0
48259,30/7/2023,Home,115,1,4807,PayPal,42,0,Melanie Taylor,Female,0
48259,23/11/2022,Clothing,78,4,4620,Cash,42,0,Melanie Taylor,Female,0
48259,24/4/2021,Electronics,22,2,1796,Cash,42,1,Melanie Taylor,Female,0
48220,14/8/2023,Clothing,244,1,4133,Cash,51,0,Yolanda Washington,Female,1
48220,4/3/2021,Home,188,5,1638,Credit Card,51,1,Yolanda Washington,Female,1
48220,16/11/2022,Clothing,473,5,2083,PayPal,51,1,Yolanda Washington,Female,1
46055,4/12/2022,Books,475,3,4180,Credit Card,41,0,Krista Mullen,Female,0
46055,18/3/2022,Home,480,3,3702,PayPal,41,0,Krista Mullen,Female,0
46055,27/2/2020,Books,403,5,4825,PayPal,41,1,Krista Mullen,Female,0
46055,14/1/2023,Home,432,1,4732,Cash,41,1,Krista Mullen,Female,0
48711,15/4/2023,Books,102,5,2025,Cash,65,0,Michael Baker,Female,0
48711,18/8/2020,Electronics,159,1,2386,Credit Card,65,0,Michael Baker,Female,0
48711,29/4/2023,Electronics,455,2,915,Credit Card,65,1,Michael Baker,Female,0
48711,11/12/2020,Books,87,5,2424,Credit Card,65,1,Michael Baker,Female,0
48711,16/10/2020,Clothing,230,4,3985,Credit Card,65,1,Michael Baker,Female,0
48711,17/11/2021,Home,285,2,5098,Credit Card,65,1,Michael Baker,Female,0
48711,20/5/2023,Home,306,5,4947,Cash,65,1,Michael Baker,Female,0
48711,7/7/2023,Clothing,258,4,567,Credit Card,65,0,Michael Baker,Female,0
48711,11/3/2021,Clothing,326,2,3776,PayPal,65,1,Michael Baker,Female,0
49031,7/6/2020,Clothing,483,2,1320,Cash,53,1,Suzanne Martinez,Female,0
49031,28/9/2020,Home,477,1,3508,PayPal,53,1,Suzanne Martinez,Female,0
49031,1/4/2022,Electronics,379,3,4604,PayPal,53,0,Suzanne Martinez,Female,0
49031,20/11/2021,Clothing,268,2,2983,Cash,53,1,Suzanne Martinez,Female,0
49031,14/2/2022,Clothing,437,4,4705,Cash,53,1,Suzanne Martinez,Female,0
48283,2/6/2022,Books,341,3,2694,Cash,50,1,John Wilcox,Female,0
